question_id,is_correct,n_steps,depth,n_arithmetic,n_facts,n_conclude,frac_arithmetic,frac_facts,unsupported_arithmetic,unsupported_conclude,conclude_in_degree,max_out_degree,mean_out_degree,mean_in_degree,orphan_nodes
gsm-hard-b2-39,True,6,4,3,2,1,0.5,0.3333333333333333,0,0,1,2,1.0,1.0,0
gsm-hard-b2-40,True,11,5,6,4,1,0.5454545454545454,0.36363636363636365,0,0,1,2,1.0,1.0,1
gsm-hard-b2-41,True,5,3,2,2,1,0.4,0.4,0,0,1,2,1.0,1.0,0
gsm-hard-b2-42,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
gsm-hard-b2-43,True,8,3,4,3,1,0.5,0.375,0,0,1,2,1.125,1.125,0
gsm-hard-b2-44,True,7,5,5,1,1,0.7142857142857143,0.14285714285714285,1,0,1,2,1.0,1.0,0
gsm-hard-b2-45,True,7,3,3,3,1,0.42857142857142855,0.42857142857142855,1,0,2,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-46,False,11,6,4,5,1,0.36363636363636365,0.45454545454545453,0,0,1,1,0.9090909090909091,0.9090909090909091,0
gsm-hard-b2-47,True,8,4,2,4,1,0.25,0.5,0,0,1,1,0.875,0.875,0
gsm-hard-b2-48,False,8,4,3,3,1,0.375,0.375,0,0,1,2,1.125,1.125,0
gsm-hard-b2-49,False,8,5,4,2,1,0.5,0.25,0,0,1,1,0.875,0.875,0
gsm-hard-b2-50,True,8,6,7,0,1,0.875,0.0,2,0,1,2,1.125,1.125,0
gsm-hard-b2-51,True,7,4,3,2,1,0.42857142857142855,0.2857142857142857,0,0,1,2,1.1428571428571428,1.1428571428571428,1
gsm-hard-b2-52,True,7,4,2,3,1,0.2857142857142857,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-53,True,7,4,3,3,1,0.42857142857142855,0.42857142857142855,0,0,1,1,0.8571428571428571,0.8571428571428571,0
gsm-hard-b2-54,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,2,2,1.1666666666666667,1.1666666666666667,0
gsm-hard-b2-55,False,9,5,3,2,1,0.3333333333333333,0.2222222222222222,0,0,1,2,1.0,1.0,2
gsm-hard-b2-56,True,6,4,2,2,1,0.3333333333333333,0.3333333333333333,0,0,2,2,1.1666666666666667,1.1666666666666667,0
gsm-hard-b2-57,True,7,4,3,2,1,0.42857142857142855,0.2857142857142857,0,0,2,3,1.2857142857142858,1.2857142857142858,0
gsm-hard-b2-58,True,6,3,2,2,1,0.3333333333333333,0.3333333333333333,0,0,1,2,1.0,1.0,1
gsm-hard-b2-59,True,8,4,4,3,1,0.5,0.375,0,0,1,1,0.875,0.875,0
gsm-hard-b2-60,True,6,3,2,3,1,0.3333333333333333,0.5,0,0,1,1,0.8333333333333334,0.8333333333333334,0
